id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
0,-103.000000,5957.000000,193.000000,-31.000000,-71.000000,nan,nan
1,-101.000000,5957.000000,193.000000,-31.000000,-71.000000,nan,nan
2,-101.000000,5957.000000,193.000000,-31.000000,-71.000000,nan,nan
3,-99.000000,5957.000000,193.000000,-31.000000,-67.000000,nan,nan
4,-99.000000,21557.000000,5957.000000,303.000000,-47.000000,-103.000000,nan
5,-99.000000,21557.000000,5957.000000,303.000000,-47.000000,-103.000000,nan
6,-97.000000,5957.000000,303.000000,-31.000000,-73.000000,nan,nan
7,-97.000000,5957.000000,303.000000,-31.000000,-73.000000,nan,nan
8,-97.000000,5957.000000,303.000000,-31.000000,-73.000000,nan,nan
9,-99.000000,5957.000000,303.000000,-31.000000,-73.000000,nan,nan
10,-99.000000,5957.000000,303.000000,-31.000000,-97.000000,nan,nan
11,-99.000000,5957.000000,303.000000,-31.000000,-97.000000,nan,nan
12,-99.000000,5957.000000,303.000000,-31.000000,-97.000000,nan,nan
13,-99.000000,5957.000000,303.000000,-31.000000,-69.000000,nan,nan
14,-101.000000,5957.000000,303.000000,-31.000000,-69.000000,nan,nan
15,-101.000000,5957.000000,303.000000,-31.000000,-69.000000,nan,nan
16,-101.000000,5957.000000,303.000000,-31.000000,-69.000000,nan,nan
17,-101.000000,5957.000000,303.000000,-83.000000,nan,nan,nan
18,-99.000000,21557.000000,303.000000,-47.000000,-87.000000,nan,nan
19,-99.000000,21557.000000,5957.000000,303.000000,-47.000000,-87.000000,nan
20,-99.000000,21557.000000,5957.000000,303.000000,-47.000000,-93.000000,nan
21,-99.000000,21557.000000,5957.000000,303.000000,-47.000000,-93.000000,nan
22,-99.000000,21557.000000,303.000000,-31.000000,-97.000000,nan,nan
23,-99.000000,21557.000000,303.000000,-31.000000,-97.000000,nan,nan
24,-99.000000,21557.000000,303.000000,-31.000000,-97.000000,nan,nan
25,-99.000000,21557.000000,303.000000,-31.000000,-97.000000,nan,nan
26,-99.000000,21557.000000,303.000000,-31.000000,-99.000000,nan,nan
27,-99.000000,21557.000000,303.000000,-31.000000,-99.000000,nan,nan
28,-99.000000,21557.000000,303.000000,-31.000000,-103.000000,nan,nan
29,-101.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
30,-101.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
31,-101.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
32,-101.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
33,-101.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
34,-99.000000,21557.000000,303.000000,-31.000000,-87.000000,nan,nan
35,-99.000000,21557.000000,303.000000,-31.000000,-87.000000,nan,nan
36,-99.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
37,-99.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
38,-99.000000,21557.000000,303.000000,-31.000000,-89.000000,nan,nan
39,-99.000000,21557.000000,303.000000,-31.000000,-87.000000,nan,nan
40,-99.000000,21557.000000,303.000000,-31.000000,-87.000000,nan,nan
